node_id,x,y,z,module,root_id
329,453440,148160,223440,13,720575940604620512
330,624330,280386,62140,11,720575940604624574
331,697180,181992,207400,2,720575940604624998
332,438332,161200,174800,13,720575940604626912
333,621092,106908,148640,8,720575940604628192
334,635724,179856,143760,14,720575940604630240
335,627700,176796,143760,14,720575940604630496
336,410880,196864,53560,6,720575940604649504
337,473792,87040,146040,11,720575940604650174
338,407898,297509,141389,21,720575940604653484
339,530400,355040,214480,1,720575940604658366
340,607904,276750,61320,14,720575940604662700
341,711392,183216,110600,8,720575940604663520
342,482466,178484,188720,37,720575940604667825
343,616812,198112,70960,34,720575940604672870
344,341738,186812,153800,3,720575940604682976
345,648744,205952,189540,2,720575940604685513
346,492800,281280,42000,5,720575940604690278
347,413048,192004,185320,16,720575940604692354
348,363301,179008,105952,24,720575940604693164
349,407216,119360,182920,16,720575940604701374
350,508392,342804,173880,7,720575940604705312
351,673304,206484,55880,2,720575940604706592
352,548146,197454,189820,19,720575940604708832
353,494384,118412,174360,6,720575940604709920
354,672212,154208,174320,8,720575940604713184
355,336896,147660,126240,12,720575940604714208
356,645454,122637,146736,8,720575940604714464
357,499694,355218,203680,9,720575940604722278
358,436480,149376,55600,14,720575940604728800
359,655168,328576,117080,9,720575940604729056
360,393440,224288,61360,11,720575940604731838
361,604284,131488,49700,16,720575940604732350
362,591450,321472,121840,1,720575940604735660
363,550892,113538,63080,23,720575940604736544
364,425697,326716,86856,11,720575940604745346
365,455268,187544,199040,15,720575940604747878
366,340864,139264,142240,3,720575940604748134
367,638784,204837,195813,2,720575940604753254
368,714844,186584,110680,8,720575940604753836
369,510260,122240,52000,12,720575940604754534
370,593366,184508,167480,23,720575940604756000
371,622330,86256,132320,2,720575940604759910
372,725184,178464,104000,8,720575940604762028
373,607403,207403,105840,2,720575940604763326
374,446624,303776,65160,20,720575940604764862
375,631460,176576,143760,14,720575940604766153
376,633844,175084,143760,14,720575940604770249
377,486634,149174,173760,15,720575940604771174
378,483904,338912,208920,11,720575940604772576
379,480420,183112,182600,37,720575940604786889
380,553968,150630,179160,3,720575940604790444
381,596832,329600,40960,7,720575940604791217
